Year,Team,Assist_Ratio,Pythagorean_Winning_Percentage,Efficiency_Differential,Defensive_Rebounding_Percentage,Possessions_game,Possessions_opp_game,Offensive_Rebounding_Percentage,Pace,Play_Percentage,Turnover_Ratio,Pace_Average,Pace_Differential,Possessions_Differential,Rank,W/L%,MOV/A,ORtg/A,DRtg/A,NRtg/A,Position
1990,Boston Celtics,20.547181901763576,0.6482101531150808,6.859999999999999,0.7205240174672489,97.02912,96.8064,0.31476997578692495,96.79676404494383,0.4860335195530726,10.656674003287549,97.2333195381122,-0.4365554931683704,0.22272000000000958,8,0.634,3.23,111.86,108.66,3.2,5
1990,Chicago Bulls,18.97139257180493,0.623611862342801,6.390000000000001,0.6813725490196079,96.08064,96.23808,0.31873479318734793,95.4435334987593,0.48645598194130923,10.881704418544716,97.2333195381122,-1.7897860393529044,-0.15743999999999403,9,0.6709999999999999,2.74,112.75,109.83,2.91,3
1990,Cleveland Cavaliers,18.651300510915004,0.4879585246066895,4.909999999999997,0.677570093457944,94.36032,95.19744,0.3157894736842105,93.84047524752475,0.45317919075144514,11.03111936832327,97.2333195381122,-3.3928442905874476,-0.8371199999999988,17,0.512,-0.62,107.06,107.57,-0.51,5
1990,Dallas Mavericks,16.421479598014287,0.5,5.0,0.6797235023041475,93.83424,94.38335999999998,0.3031026252983294,93.2924907063197,0.4626168224299066,11.35125317835089,97.2333195381122,-3.9408288317925013,-0.5491199999999878,15,0.573,0.42,108.23,107.81,0.41,5
1990,Denver Nuggets,18.333200963651283,0.5505299247047486,3.549999999999997,0.7119815668202765,104.72832000000001,104.55167999999999,0.29183673469387755,103.99006211180124,0.4655704008221993,9.199692902337647,97.2333195381122,6.7567425736890385,0.17664000000002034,11,0.524,1.56,108.63,107.14,1.49,5
1990,Detroit Pistons,17.802197802197803,0.7266279752483386,3.9399999999999977,0.702576112412178,93.79199999999999,94.16064,0.3427895981087471,93.3926161490683,0.4742990654205608,10.989010989010989,97.2333195381122,-3.8407033890438953,-0.3686400000000134,4,0.72,5.41,109.77,104.04,5.72,1
1990,Houston Rockets,18.37579879871644,0.5542673197409445,1.2900000000000063,0.6924731182795699,100.07424,100.31999999999998,0.3303571428571429,99.57477763975153,0.46145494028230183,12.684786484188585,97.2333195381122,2.3414581016393328,-0.24575999999997578,10,0.5,1.7,105.41,103.89,1.52,5
1990,Indiana Pacers,18.07669789227166,0.507554372265397,1.3599999999999994,0.6705069124423962,96.42240000000001,97.10207999999999,0.2911392405063291,95.80419801980197,0.46871444823663255,12.002341920374704,97.2333195381122,-1.4291215183102253,-0.6796799999999763,16,0.512,-0.18,112.03,112.19,-0.16,5
1990,Los Angeles Lakers,19.334660221779924,0.7400092315097747,1.269999999999996,0.6849315068493151,96.07679999999999,96.48768,0.32843137254901966,95.4470780669145,0.4810562571756602,10.662496445834517,97.2333195381122,-1.7862414711976982,-0.4108800000000059,1,0.768,6.74,115.19,108.16,7.03,4
1990,Milwaukee Bucks,17.820483576642335,0.46902453489019974,0.0899999999999892,0.6602409638554216,97.71647999999999,97.79711999999999,0.31542056074766356,97.02908188585607,0.45982142857142866,11.405109489051094,97.2333195381122,-0.20423765225612556,-0.08064000000000249,18,0.537,-1.06,107.38,108.61,-1.23,5
1990,New York Knicks,18.33071131587819,0.5534665599866977,-0.9899999999999949,0.6607142857142858,97.71264000000001,98.26943999999999,0.3419811320754717,97.2615781637717,0.46973094170403584,12.080008989774132,97.2333195381122,0.028258625659503878,-0.5567999999999813,13,0.5489999999999999,0.78,109.65,108.99,0.66,4
1990,Philadelphia 76ers,17.1681312925566,0.6826884139315336,-2.3200000000000074,0.6829836829836831,96.34944,95.232,0.31990521327014215,95.19574658385092,0.4821634062140391,10.693708898329744,97.2333195381122,-2.037572954261279,1.117440000000002,6,0.6459999999999999,4.23,113.8,109.55,4.25,4
1990,Phoenix Suns,17.989136521446973,0.7412440694588037,-3.3999999999999915,0.6872340425531914,100.18943999999999,100.52735999999999,0.3099273607748184,99.48788104089219,0.4810690423162584,10.849479224997202,97.2333195381122,2.2545615027799926,-0.3379199999999969,2,0.659,7.09,113.6,106.76,6.84,3
