PLAYER_ID, PLAYER_NAME, TEAM_ID, TEAM_ABBREVIATION, AGE, GP, W, L, W_PCT, MIN, DEF_RATING, DREB, DREB_PCT, PCT_DREB, STL, PCT_STL, BLK, PCT_BLK, OPP_PTS_OFF_TOV, OPP_PTS_2ND_CHANCE, OPP_PTS_FB, OPP_PTS_PAINT, DEF_WS, GP_RANK, W_RANK, L_RANK, W_PCT_RANK, MIN_RANK, DEF_RATING_RANK, DREB_RANK, DREB_PCT_RANK, PCT_DREB_RANK, STL_RANK, PCT_STL_RANK, BLK_RANK, PCT_BLK_RANK, OPP_PTS_OFF_TOV_RANK, OPP_PTS_2ND_CHANCE_RANK, OPP_PTS_FB_RANK, OPP_PTS_PAINT_RANK, DEF_WS_RANK, CFPARAMS
692, Andrew DeClercq, 1610612753, ORL, 31.0, 71, 17, 54, 0.239, 17.0, 104.0, 2.6, 0.176, 0.248, 0.7, 0.278, 0.5, 0.36, 5.5, 5.5, 4.2, 14.3, 0.009, 160, 311, 432, 417, 252, 354, 177, 113, 114, 195, 50, 122, 89, 183, 225, 184, 213, 345, 692,1610612753
358, Anfernee Hardaway, 1610612752, NYK, 32.0, 76, 33, 43, 0.434, 27.6, 100.2, 2.9, 0.122, 0.171, 0.9, 0.194, 0.3, 0.104, 9.1, 7.9, 5.9, 21.4, 0.029, 111, 163, 374, 275, 131, 216, 154, 253, 257, 115, 215, 208, 256, 312, 323, 277, 312, 121, 358,1610612752
1738, Ansu Sesay, 1610612760, SEA, 27.0, 57, 25, 32, 0.439, 10.1, 99.8, 0.9, 0.103, 0.148, 0.3, 0.171, 0.4, 0.317, 3.7, 3.0, 2.6, 7.5, 0.011, 244, 228, 266, 269, 364, 203, 380, 311, 306, 325, 258, 158, 102, 86, 93, 89, 83, 313, 1738,1610612760
1712, Antawn Jamison, 1610612742, DAL, 28.0, 82, 52, 30, 0.634, 29.0, 104.3, 3.5, 0.135, 0.191, 1.0, 0.206, 0.4, 0.127, 8.3, 8.1, 8.6, 25.9, 0.014, 3, 29, 247, 95, 118, 360, 100, 219, 217, 93, 179, 153, 225, 284, 329, 379, 366, 275, 1712,1610612742
1853, Anthony Carter, 1610612759, SAS, 29.0, 5, 3, 2, 0.6, 17.4, 80.5, 1.8, 0.102, 0.15, 0.8, 0.211, 0.0, 0.0, 6.6, 5.2, 6.6, 12.8, 0.067, 418, 404, 11, 117, 247, 8, 263, 314, 296, 149, 162, 398, 398, 215, 210, 301, 191, 8, 1853,1610612759
924, Anthony Goldwire, 1610612751, NJN, 32.0, 11, 8, 3, 0.727, 7.6, 98.5, 0.5, 0.088, 0.12, 0.5, 0.556, 0.0, 0.0, 1.8, 2.1, 1.4, 5.3, 0.009, 395, 377, 21, 32, 392, 151, 410, 362, 370, 275, 5, 398, 398, 27, 50, 31, 43, 340, 924,1610612751
1533, Anthony Johnson, 1610612754, IND, 29.0, 73, 53, 20, 0.726, 22.0, 99.2, 1.4, 0.079, 0.109, 0.9, 0.243, 0.1, 0.049, 6.7, 5.5, 5.3, 15.8, 0.024, 135, 27, 132, 34, 186, 175, 321, 393, 403, 129, 99, 323, 346, 223, 222, 246, 235, 159, 1533,1610612754
324, Anthony Peeler, 1610612758, SAC, 34.0, 75, 50, 25, 0.667, 18.4, 98.6, 1.6, 0.095, 0.137, 0.7, 0.211, 0.1, 0.095, 5.7, 5.8, 4.5, 15.5, 0.022, 120, 34, 182, 67, 236, 153, 287, 335, 336, 172, 162, 305, 265, 190, 243, 202, 230, 186, 324,1610612758
952, Antoine Walker, 1610612742, DAL, 27.0, 82, 52, 30, 0.634, 34.6, 105.5, 5.9, 0.19, 0.264, 0.8, 0.141, 0.8, 0.212, 10.2, 9.4, 10.7, 32.9, 0.011, 3, 29, 247, 95, 67, 384, 24, 83, 92, 152, 333, 67, 152, 347, 383, 429, 431, 309, 952,1610612742
1498, Antonio Daniels, 1610612760, SEA, 29.0, 71, 29, 42, 0.408, 21.3, 105.1, 1.7, 0.09, 0.135, 0.6, 0.188, 0.1, 0.044, 7.1, 7.1, 5.7, 17.2, 0.008, 160, 195, 365, 304, 198, 375, 281, 352, 339, 201, 231, 346, 352, 248, 296, 263, 254, 354, 1498,1610612760
