PLAYER_ID, PLAYER_NAME, TEAM_ID, TEAM_ABBREVIATION, AGE, G, MIN, CONTESTED_SHOTS, CONTESTED_SHOTS_2PT, CONTESTED_SHOTS_3PT, CHARGES_DRAWN, DEFLECTIONS, LOOSE_BALLS_RECOVERED, BOX_OUTS
201166, Aaron Brooks, 1610612741, CHI, 31.0, 69, 16.0, 0.01, 0.01, 0.0, 0.0, 0.0, 0.0, 0.0
203932, Aaron Gordon, 1610612753, ORL, 20.0, 78, 24.0, 0.03, 0.03, 0.0, 0.0, 0.0, 0.01, 0.0
1626151, Aaron Harrison, 1610612766, CHA, 21.0, 21, 4.0, None, None, None, None, None, None, None
203940, Adreian Payne, 1610612750, MIN, 25.0, 52, 9.0, None, None, None, None, None, None, None
201143, Al Horford, 1610612737, ATL, 30.0, 82, 32.0, 0.3, 0.27, 0.04, 0.0, 0.04, 0.0, 0.0
2744, Al Jefferson, 1610612766, CHA, 31.0, 47, 23.0, None, None, None, None, None, None, None
202329, Al-Farouq Aminu, 1610612757, POR, 25.0, 82, 29.0, None, None, None, None, None, None, None
101187, Alan Anderson, 1610612764, WAS, 33.0, 13, 15.0, None, None, None, None, None, None, None
1626210, Alan Williams, 1610612756, PHX, 23.0, 10, 7.0, None, None, None, None, None, None, None
202692, Alec Burks, 1610612762, UTA, 24.0, 31, 26.0, None, None, None, None, None, None, None
203458, Alex Len, 1610612756, PHX, 23.0, 78, 23.0, None, None, None, None, None, None, None
1627293, Alex Stepheson, 1610612763, MEM, 28.0, 8, 9.0, None, None, None, None, None, None, None
201582, Alexis Ajinca, 1610612740, NOP, 28.0, 59, 15.0, 0.12, 0.08, 0.03, 0.0, 0.02, 0.0, 0.0
203459, Allen Crabbe, 1610612757, POR, 24.0, 81, 26.0, None, None, None, None, None, None, None
202087, Alonzo Gee, 1610612740, NOP, 29.0, 73, 22.0, 0.03, 0.03, 0.0, 0.0, 0.04, 0.01, 0.0
2405, Amar'e Stoudemire, 1610612748, MIA, 33.0, 52, 15.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
101161, Amir Johnson, 1610612738, BOS, 29.0, 79, 23.0, None, None, None, None, None, None, None
2760, Anderson Varejao, 1610612744, GSW, 33.0, 53, 9.0, None, None, None, None, None, None, None
203083, Andre Drummond, 1610612765, DET, 22.0, 81, 33.0, None, None, None, None, None, None, None
2738, Andre Iguodala, 1610612744, GSW, 32.0, 65, 27.0, 0.05, 0.05, 0.0, 0.0, 0.05, 0.08, 0.0
1889, Andre Miller, 1610612759, SAS, 40.0, 39, 12.0, None, None, None, None, None, None, None
203460, Andre Roberson, 1610612760, OKC, 24.0, 70, 22.0, None, None, None, None, None, None, None
200745, Andrea Bargnani, 1610612751, BKN, 30.0, 46, 14.0, None, None, None, None, None, None, None
101106, Andrew Bogut, 1610612744, GSW, 31.0, 70, 21.0, 0.26, 0.23, 0.03, 0.0, 0.01, 0.01, 0.0
202726, Andrew Goudelock, 1610612745, HOU, 27.0, 8, 6.0, None, None, None, None, None, None, None
203094, Andrew Nicholson, 1610612753, ORL, 26.0, 56, 15.0, None, None, None, None, None, None, None
203952, Andrew Wiggins, 1610612750, MIN, 21.0, 81, 35.0, 0.15, 0.05, 0.1, 0.0, 0.1, 0.06, 0.0
203461, Anthony Bennett, 1610612761, TOR, 23.0, 19, 4.0, None, None, None, None, None, None, None
1626148, Anthony Brown, 1610612747, LAL, 23.0, 29, 21.0, None, None, None, None, None, None, None
203076, Anthony Davis, 1610612740, NOP, 23.0, 61, 35.0, 0.25, 0.15, 0.1, 0.0, 0.02, 0.02, 0.0
201627, Anthony Morrow, 1610612760, OKC, 30.0, 68, 14.0, None, None, None, None, None, None, None
201229, Anthony Tolliver, 1610612765, DET, 31.0, 72, 19.0, None, None, None, None, None, None, None
203462, Archie Goodwin, 1610612756, PHX, 21.0, 57, 20.0, None, None, None, None, None, None, None
203382, Aron Baynes, 1610612765, DET, 29.0, 81, 15.0, None, None, None, None, None, None, None
201167, Arron Afflalo, 1610612752, NYK, 30.0, 71, 33.0, 0.13, 0.04, 0.08, 0.0, 0.0, 0.03, 0.0
203085, Austin Rivers, 1610612746, LAC, 23.0, 67, 22.0, None, None, None, None, None, None, None
202340, Avery Bradley, 1610612738, BOS, 25.0, 76, 33.0, None, None, None, None, None, None, None
1626253, Axel Toupane, 1610612743, DEN, 23.0, 21, 15.0, None, None, None, None, None, None, None
203463, Ben McLemore, 1610612758, SAC, 23.0, 68, 21.0, None, None, None, None, None, None, None
2757, Beno Udrih, 1610612763, MEM, 33.0, 44, 16.0, 0.18, 0.14, 0.05, 0.0, 0.02, 0.05, 0.0
202687, Bismack Biyombo, 1610612761, TOR, 23.0, 82, 22.0, None, None, None, None, None, None, None
201933, Blake Griffin, 1610612746, LAC, 27.0, 35, 33.0, None, None, None, None, None, None, None
1626246, Boban Marjanovic, 1610612759, SAS, 27.0, 54, 9.0, None, None, None, None, None, None, None
1626171, Bobby Portis, 1610612741, CHI, 21.0, 62, 18.0, 0.08, 0.03, 0.05, 0.0, 0.0, 0.0, 0.0
202711, Bojan Bogdanovic, 1610612751, BKN, 27.0, 79, 27.0, None, None, None, None, None, None, None
2564, Boris Diaw, 1610612759, SAS, 34.0, 76, 18.0, 0.05, 0.05, 0.0, 0.0, 0.04, 0.0, 0.0
203078, Bradley Beal, 1610612764, WAS, 23.0, 55, 31.0, None, None, None, None, None, None, None
201148, Brandan Wright, 1610612763, MEM, 28.0, 12, 18.0, None, None, None, None, None, None, None
1626183, Branden Dawson, 1610612746, LAC, 23.0, 6, 5.0, None, None, None, None, None, None, None
101138, Brandon Bass, 1610612747, LAL, 31.0, 66, 20.0, None, None, None, None, None, None, None
201943, Brandon Jennings, 1610612753, ORL, 26.0, 48, 18.0, None, None, None, None, None, None, None
202688, Brandon Knight, 1610612756, PHX, 24.0, 52, 36.0, None, None, None, None, None, None, None
201575, Brandon Rush, 1610612744, GSW, 30.0, 72, 15.0, 0.03, 0.03, 0.0, 0.0, 0.0, 0.0, 0.0
203148, Brian Roberts, 1610612757, POR, 30.0, 51, 9.0, None, None, None, None, None, None, None
1627362, Briante Weber, 1610612748, MIA, 23.0, 7, 24.0, None, None, None, None, None, None, None
201572, Brook Lopez, 1610612751, BKN, 28.0, 73, 34.0, None, None, None, None, None, None, None
203998, Bruno Caboclo, 1610612761, TOR, 20.0, 6, 7.0, None, None, None, None, None, None, None
203955, Bryce Cotton, 1610612763, MEM, 23.0, 8, 5.0, None, None, None, None, None, None, None
1626214, Bryce Dejean-Jones, 1610612740, NOP, 23.0, 14, 20.0, None, None, None, None, None, None, None
201228, C.J. Watson, 1610612753, ORL, 32.0, 33, 20.0, None, None, None, None, None, None, None
203468, CJ McCollum, 1610612757, POR, 24.0, 80, 35.0, None, None, None, None, None, None, None
101139, CJ Miles, 1610612754, IND, 29.0, 64, 23.0, None, None, None, None, None, None, None
203912, CJ Wilcox, 1610612746, LAC, 25.0, 23, 7.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
203946, Cameron Bairstow, 1610612765, DET, 25.0, 18, 6.0, None, None, None, None, None, None, None
1626166, Cameron Payne, 1610612760, OKC, 21.0, 57, 12.0, None, None, None, None, None, None, None
201171, Carl Landry, 1610612755, PHI, 32.0, 36, 16.0, 0.11, 0.08, 0.03, 0.0, 0.0, 0.03, 0.0
2546, Carmelo Anthony, 1610612752, NYK, 32.0, 72, 35.0, 0.03, 0.01, 0.01, 0.0, 0.03, 0.0, 0.0
2406, Caron Butler, 1610612758, SAC, 36.0, 17, 10.0, None, None, None, None, None, None, None
202718, Chandler Parsons, 1610612742, DAL, 27.0, 61, 29.0, 0.13, 0.1, 0.03, 0.0, 0.08, 0.02, 0.0
101112, Channing Frye, 1610612739, CLE, 33.0, 70, 17.0, 0.1, 0.1, 0.0, 0.0, 0.01, 0.0, 0.0
101111, Charlie Villanueva, 1610612742, DAL, 31.0, 62, 11.0, None, None, None, None, None, None, None
201978, Chase Budinger, 1610612756, PHX, 28.0, 66, 14.0, None, None, None, None, None, None, None
2365, Chris Andersen, 1610612763, MEM, 37.0, 27, 15.0, None, None, None, None, None, None, None
2547, Chris Bosh, 1610612748, MIA, 32.0, 53, 34.0, 0.19, 0.15, 0.04, 0.0, 0.0, 0.0, 0.0
203142, Chris Copeland, 1610612749, MIL, 32.0, 24, 6.0, None, None, None, None, None, None, None
203187, Chris Johnson, 1610612762, UTA, 26.0, 70, 12.0, None, None, None, None, None, None, None
2549, Chris Kaman, 1610612757, POR, 34.0, 16, 7.0, None, None, None, None, None, None, None
1626191, Chris McCullough, 1610612751, BKN, 21.0, 24, 15.0, None, None, None, None, None, None, None
101108, Chris Paul, 1610612746, LAC, 31.0, 74, 33.0, 0.03, 0.03, 0.0, 0.0, 0.0, 0.0, 0.0
1626174, Christian Wood, 1610612755, PHI, 20.0, 17, 9.0, None, None, None, None, None, None, None
101236, Chuck Hayes, 1610612746, LAC, 33.0, 2, 12.0, None, None, None, None, None, None, None
203921, Cleanthony Early, 1610612752, NYK, 25.0, 17, 9.0, None, None, None, None, None, None, None
1626146, Cliff Alexander, 1610612757, POR, 20.0, 8, 4.0, None, None, None, None, None, None, None
203991, Clint Capela, 1610612745, HOU, 22.0, 77, 19.0, 0.14, 0.1, 0.04, 0.0, 0.04, 0.0, 0.0
203469, Cody Zeller, 1610612766, CHA, 23.0, 73, 24.0, None, None, None, None, None, None, None
202332, Cole Aldrich, 1610612746, LAC, 27.0, 60, 13.0, 0.17, 0.17, 0.0, 0.0, 0.0, 0.02, 0.0
201147, Corey Brewer, 1610612745, HOU, 30.0, 82, 20.0, 0.12, 0.05, 0.07, 0.0, 0.01, 0.0, 0.0
203928, Cory Jefferson, 1610612756, PHX, 25.0, 8, 6.0, None, None, None, None, None, None, None
202709, Cory Joseph, 1610612761, TOR, 24.0, 80, 26.0, None, None, None, None, None, None, None
1626262, Coty Clarke, 1610612738, BOS, 23.0, 3, 2.0, None, None, None, None, None, None, None
201584, Courtney Lee, 1610612766, CHA, 30.0, 79, 30.0, None, None, None, None, None, None, None
1626245, Cristiano Felicio, 1610612741, CHI, 23.0, 31, 10.0, None, None, None, None, None, None, None
1626156, D'Angelo Russell, 1610612747, LAL, 20.0, 80, 28.0, None, None, None, None, None, None, None
201571, D.J. Augustin, 1610612743, DEN, 28.0, 62, 19.0, None, None, None, None, None, None, None
2563, Dahntay Jones, 1610612739, CLE, 35.0, 1, 42.0, None, None, None, None, None, None, None
203081, Damian Lillard, 1610612757, POR, 25.0, 75, 36.0, None, None, None, None, None, None, None
203996, Damien Inglis, 1610612749, MIL, 21.0, 20, 8.0, None, None, None, None, None, None, None
204014, Damjan Rudez, 1610612750, MIN, 30.0, 33, 8.0, None, None, None, None, None, None, None
201568, Danilo Gallinari, 1610612743, DEN, 27.0, 53, 35.0, 0.13, 0.09, 0.04, 0.04, 0.06, 0.0, 0.0
201980, Danny Green, 1610612759, SAS, 29.0, 79, 26.0, 0.05, 0.04, 0.01, 0.0, 0.0, 0.0, 0.0
201967, Dante Cunningham, 1610612740, NOP, 29.0, 80, 25.0, 0.06, 0.05, 0.01, 0.0, 0.01, 0.0, 0.0
201589, Darrell Arthur, 1610612743, DEN, 28.0, 70, 22.0, 0.13, 0.1, 0.03, 0.0, 0.01, 0.0, 0.0
201954, Darren Collison, 1610612758, SAC, 28.0, 74, 30.0, None, None, None, None, None, None, None
1626199, Darrun Hilliard, 1610612765, DET, 23.0, 38, 10.0, None, None, None, None, None, None, None
