PLAYER_ID, PLAYER_NAME, TEAM_ID, TEAM_ABBREVIATION, AGE, OPP_FGM, OPP_FGA, OPP_FG_PCT, OPP_FGM, OPP_FGA, OPP_FG_PCT, OPP_FGM, OPP_FGA, OPP_FG_PCT, OPP_FGM, OPP_FGA, OPP_FG_PCT, OPP_FGM, OPP_FGA, OPP_FG_PCT, OPP_FGM, OPP_FGA, OPP_FG_PCT, OPP_FGM, OPP_FGA, OPP_FG_PCT, OPP_FGM, OPP_FGA, OPP_FG_PCT, OPP_FGM, OPP_FG_PCT
201166, Aaron Brooks, 1610612745, HOU, 23.0, 3.6, 5.9, 0.62, 1.0, 2.7, 0.368, 1.0, 2.3, 0.438, 1.7, 4.4, 0.383, 1.2, 3.5, 0.355, 0.7, 2.1, 0.337, 0.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
201189, Aaron Gray, 1610612741, CHI, 23.0, 2.9, 4.9, 0.58, 0.5, 1.3, 0.42, 0.9, 1.8, 0.495, 1.3, 3.5, 0.363, 1.6, 4.1, 0.398, 0.6, 1.9, 0.317, 0.2, 0.6, 0.333, 0.0, 0.8, 0.0, 0.1, 0.167
1425, Aaron Williams, 1610612746, LAC, 36.0, 3.8, 6.4, 0.597, 0.6, 1.8, 0.333, 0.6, 1.6, 0.381, 1.3, 3.1, 0.42, 1.2, 2.4, 0.507, 0.8, 2.2, 0.373, None, None, None, 0.0, 0.0, 0.0, 0.0, 0.0
201151, Acie Law, 1610612737, ATL, 23.0, 5.6, 9.7, 0.582, 1.2, 2.7, 0.437, 0.9, 2.5, 0.347, 2.2, 5.2, 0.423, 1.5, 3.9, 0.401, 1.3, 3.3, 0.391, 0.0, 0.0, 0.0, 0.0, 0.6, 0.0, 0.0, 0.0
1502, Adonal Foyle, 1610612753, ORL, 33.0, 2.9, 5.3, 0.55, 0.7, 2.0, 0.362, 0.6, 1.7, 0.357, 1.2, 2.9, 0.436, 1.1, 3.1, 0.356, 0.6, 1.7, 0.367, 0.0, 1.0, 0.0, None, None, None, 0.0, 0.0
1559, Adrian Griffin, 1610612760, SEA, 33.0, 2.0, 4.0, 0.496, 0.4, 1.2, 0.323, 0.8, 1.8, 0.468, 1.4, 3.2, 0.43, 1.3, 3.2, 0.409, 0.6, 2.1, 0.268, 0.0, 1.0, 0.0, None, None, None, 0.0, 0.0
1733, Al Harrington, 1610612744, GSW, 28.0, 10.2, 16.8, 0.606, 2.1, 4.6, 0.458, 1.5, 4.0, 0.382, 3.5, 8.4, 0.415, 3.1, 7.4, 0.415, 1.9, 5.4, 0.356, 0.3, 0.7, 0.5, 0.0, 0.8, 0.0, 0.0, 0.0
201143, Al Horford, 1610612737, ATL, 22.0, 11.7, 19.6, 0.594, 2.0, 5.0, 0.394, 1.4, 3.8, 0.375, 4.3, 10.7, 0.402, 3.0, 7.4, 0.409, 2.2, 6.0, 0.36, 0.0, 0.2, 0.0, 0.0, 0.1, 0.0, 0.0, 0.0
2744, Al Jefferson, 1610612750, MIN, 23.0, 12.9, 20.4, 0.63, 2.1, 5.1, 0.405, 1.7, 4.3, 0.399, 4.8, 10.9, 0.445, 4.7, 12.0, 0.393, 2.0, 5.5, 0.358, 0.0, 0.6, 0.0, 0.1, 0.4, 0.25, 0.0, 0.167
201154, Al Thornton, 1610612746, LAC, 24.0, 10.4, 17.0, 0.608, 1.7, 4.4, 0.393, 1.7, 4.1, 0.417, 3.2, 7.6, 0.425, 3.2, 8.3, 0.389, 1.6, 4.8, 0.331, 0.3, 0.7, 0.4, 0.0, 0.4, 0.0, 0.0, 0.0
201169, Alando Tucker, 1610612756, PHX, 24.0, 1.3, 2.8, 0.471, 2.3, 4.3, 0.538, 1.3, 3.5, 0.357, 1.0, 2.7, 0.375, 0.8, 2.5, 0.333, 0.4, 2.8, 0.143, None, None, None, None, None, None, None, None
200792, Alexander Johnson, 1610612748, MIA, 25.0, 3.8, 5.5, 0.702, 1.1, 2.2, 0.487, 0.7, 1.9, 0.382, 2.0, 4.7, 0.432, 1.9, 4.8, 0.391, 0.8, 2.0, 0.414, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0
947, Allen Iverson, 1610612743, DEN, 33.0, 14.9, 25.2, 0.592, 2.6, 7.2, 0.37, 2.2, 5.7, 0.391, 6.3, 14.7, 0.427, 6.4, 16.2, 0.394, 2.5, 7.4, 0.346, 0.1, 0.4, 0.167, 0.3, 0.9, 0.286, 0.1, 0.111
297, Alonzo Mourning, 1610612748, MIA, 38.0, 4.6, 8.8, 0.516, 1.1, 2.8, 0.38, 0.8, 2.1, 0.385, 1.9, 4.9, 0.393, 2.1, 5.3, 0.398, 0.8, 2.7, 0.279, 0.3, 0.3, 1.0, 0.0, 0.5, 0.0, 0.1, 0.333
