PLAYER_ID, PLAYER_NAME, TEAM_ID, TEAM_ABBREVIATION, AGE, OPP_FGM, OPP_FGA, OPP_FG_PCT, OPP_FGM, OPP_FGA, OPP_FG_PCT, OPP_FGM, OPP_FGA, OPP_FG_PCT, OPP_FGM, OPP_FGA, OPP_FG_PCT, OPP_FGM, OPP_FGA, OPP_FG_PCT, OPP_FGM, OPP_FGA, OPP_FG_PCT, OPP_FGM, OPP_FGA, OPP_FG_PCT, OPP_FGM, OPP_FGA, OPP_FG_PCT, OPP_FGM, OPP_FG_PCT
201985, AJ Price, 1610612754, IND, 23.0, 5.0, 9.0, 0.562, 0.9, 2.6, 0.322, 1.1, 2.6, 0.412, 2.3, 5.4, 0.425, 1.6, 4.3, 0.366, 1.1, 3.1, 0.361, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0
201166, Aaron Brooks, 1610612745, HOU, 25.0, 13.0, 21.0, 0.616, 3.0, 6.6, 0.458, 2.3, 5.7, 0.403, 4.7, 11.4, 0.411, 4.1, 10.9, 0.376, 1.9, 5.4, 0.344, 0.1, 0.3, 0.333, 0.0, 0.7, 0.0, 0.0, 0.063
201189, Aaron Gray, 1610612740, NOH, 25.0, 3.4, 4.9, 0.684, 0.8, 2.0, 0.373, 0.5, 1.7, 0.318, 1.3, 3.2, 0.388, 1.1, 2.9, 0.372, 0.6, 1.9, 0.327, 0.0, 1.0, 0.0, None, None, None, 0.0, 0.0
201151, Acie Law, 1610612741, CHI, 25.0, 3.1, 5.2, 0.604, 1.4, 2.2, 0.641, 0.9, 2.1, 0.412, 1.1, 3.3, 0.329, 1.2, 3.1, 0.389, 0.8, 2.4, 0.333, 0.0, 0.5, 0.0, 0.0, 1.0, 0.0, 0.5, 1.0
200747, Adam Morrison, 1610612747, LAL, 25.0, 2.8, 4.7, 0.599, 0.5, 1.4, 0.324, 0.5, 1.2, 0.441, 1.2, 2.7, 0.427, 0.9, 2.0, 0.433, 0.9, 2.1, 0.417, 0.0, 0.0, 0.0, None, None, None, 0.0, 0.0
1733, Al Harrington, 1610612752, NYK, 30.0, 12.4, 19.3, 0.644, 2.5, 5.3, 0.472, 1.6, 3.9, 0.398, 3.7, 8.4, 0.445, 3.7, 9.9, 0.375, 1.9, 5.4, 0.343, 0.2, 0.6, 0.25, 0.0, 0.7, 0.0, 0.0, 0.0
201143, Al Horford, 1610612737, ATL, 24.0, 12.7, 21.9, 0.582, 2.1, 5.8, 0.37, 1.7, 4.5, 0.388, 4.4, 10.8, 0.407, 3.7, 9.3, 0.399, 2.1, 6.3, 0.328, 0.0, 0.2, 0.0, 0.0, 1.0, 0.0, 0.1, 0.143
2744, Al Jefferson, 1610612750, MIN, 25.0, 12.5, 19.1, 0.652, 2.4, 5.3, 0.454, 1.9, 4.4, 0.43, 4.4, 10.9, 0.406, 4.6, 11.9, 0.39, 1.7, 4.9, 0.352, 0.2, 0.4, 0.5, 0.0, 1.0, 0.0, 0.0, 0.0
201154, Al Thornton, 1610612764, WAS, 26.0, 9.8, 16.3, 0.603, 1.8, 4.8, 0.383, 1.7, 3.7, 0.446, 3.6, 8.6, 0.412, 3.1, 7.3, 0.422, 1.6, 5.1, 0.321, 0.0, 0.2, 0.0, 0.0, 0.7, 0.0, 0.1, 0.111
201169, Alando Tucker, 1610612750, MIN, 26.0, 2.7, 5.1, 0.532, 0.5, 1.9, 0.261, 0.6, 0.9, 0.75, 0.5, 1.6, 0.318, 1.6, 3.0, 0.524, 0.5, 1.0, 0.455, None, None, None, 0.0, 0.0, 0.0, 0.0, 0.0
201582, Alexis Ajinca, 1610612766, CHA, 22.0, 1.5, 2.7, 0.563, 0.0, 0.3, 0.0, 0.0, 1.0, 0.0, 0.3, 1.0, 0.333, 1.0, 2.4, 0.417, 0.4, 1.4, 0.286, None, None, None, None, None, None, None, None
947, Allen Iverson, 1610612755, PHI, 35.0, 11.1, 19.1, 0.58, 2.2, 6.0, 0.371, 2.0, 4.8, 0.41, 3.7, 9.1, 0.408, 2.6, 7.3, 0.355, 1.9, 5.5, 0.345, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0
202087, Alonzo Gee, 1610612764, WAS, 23.0, 5.5, 9.5, 0.587, 1.1, 2.3, 0.48, 0.5, 1.2, 0.417, 2.3, 5.2, 0.439, 2.3, 5.2, 0.439, 0.9, 2.8, 0.32, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0
2405, Amar'e Stoudemire, 1610612756, PHX, 27.0, 11.9, 20.1, 0.589, 3.5, 8.7, 0.402, 2.2, 5.2, 0.419, 4.5, 11.0, 0.403, 4.5, 11.8, 0.376, 2.3, 6.6, 0.354, 0.1, 0.6, 0.2, 0.0, 0.0, 0.0, 0.0, 0.067
101161, Amir Johnson, 1610612761, TOR, 23.0, 5.4, 10.2, 0.532, 1.1, 2.9, 0.392, 1.0, 2.3, 0.432, 2.1, 5.1, 0.418, 2.8, 7.1, 0.4, 0.8, 2.8, 0.276, 0.0, 0.7, 0.0, 0.0, 0.4, 0.0, 0.0, 0.0
2760, Anderson Varejao, 1610612739, CLE, 27.0, 8.1, 14.2, 0.566, 1.6, 4.4, 0.363, 1.4, 4.0, 0.363, 3.9, 9.3, 0.424, 3.4, 9.4, 0.361, 1.5, 4.8, 0.316, 0.1, 0.3, 0.333, 0.0, 0.6, 0.0, 0.0, 0.0
101154, Andray Blatche, 1610612764, WAS, 23.0, 10.2, 16.3, 0.626, 1.9, 5.1, 0.374, 1.4, 3.2, 0.424, 3.7, 9.1, 0.401, 2.9, 7.4, 0.393, 1.5, 4.5, 0.338, 0.0, 0.3, 0.0, 0.1, 0.6, 0.111, 0.0, 0.0
2738, Andre Iguodala, 1610612755, PHI, 26.0, 14.0, 23.7, 0.593, 2.7, 6.3, 0.436, 2.2, 5.2, 0.416, 4.5, 11.1, 0.407, 3.9, 10.1, 0.388, 2.9, 7.5, 0.388, 0.1, 0.6, 0.2, 0.0, 0.4, 0.0, 0.1, 0.125
1889, Andre Miller, 1610612757, POR, 34.0, 10.6, 17.3, 0.612, 2.0, 4.6, 0.439, 1.5, 4.0, 0.377, 3.5, 8.5, 0.414, 3.8, 10.9, 0.351, 1.2, 3.5, 0.327, 0.1, 0.6, 0.25, 0.0, 0.3, 0.0, 0.0, 0.048
200745, Andrea Bargnani, 1610612761, TOR, 24.0, 13.8, 22.6, 0.609, 2.3, 5.8, 0.396, 1.7, 4.3, 0.395, 4.2, 9.4, 0.452, 5.6, 13.5, 0.414, 1.5, 5.0, 0.309, 0.2, 0.7, 0.25, 0.0, 0.3, 0.0, 0.0, 0.0
1905, Andrei Kirilenko, 1610612762, UTA, 29.0, 10.4, 18.1, 0.575, 1.6, 4.3, 0.38, 1.0, 3.2, 0.315, 2.6, 7.4, 0.35, 4.4, 11.6, 0.379, 1.1, 3.8, 0.303, 0.0, 0.3, 0.0, 0.0, 0.7, 0.0, 0.0, 0.0
2804, Andres Nocioni, 1610612758, SAC, 30.0, 7.5, 11.7, 0.644, 1.7, 4.5, 0.385, 1.2, 2.7, 0.43, 2.7, 6.0, 0.447, 2.4, 6.6, 0.366, 1.0, 3.0, 0.322, 0.2, 0.8, 0.25, 0.0, 0.4, 0.0, 0.1, 0.182
101106, Andrew Bogut, 1610612749, MIL, 25.0, 9.3, 17.3, 0.539, 2.1, 5.1, 0.412, 2.4, 5.7, 0.43, 4.9, 11.6, 0.424, 2.3, 6.6, 0.348, 1.8, 5.1, 0.352, 0.2, 0.5, 0.333, 0.0, 0.8, 0.0, 0.0, 0.0
101115, Andrew Bynum, 1610612747, LAL, 22.0, 10.5, 16.9, 0.619, 1.8, 5.5, 0.335, 2.0, 4.8, 0.416, 4.0, 10.1, 0.396, 3.2, 8.9, 0.362, 2.0, 6.2, 0.323, 0.0, 0.6, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0
2740, Andris Biedrins, 1610612744, GSW, 24.0, 8.5, 13.4, 0.631, 2.1, 5.5, 0.374, 1.5, 3.8, 0.411, 3.1, 7.9, 0.393, 2.3, 5.3, 0.432, 1.8, 4.8, 0.371, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
1712, Antawn Jamison, 1610612739, CLE, 34.0, 12.2, 19.4, 0.628, 2.9, 7.3, 0.391, 1.9, 5.0, 0.373, 5.5, 13.4, 0.412, 4.2, 10.9, 0.381, 2.2, 6.0, 0.372, 0.0, 0.0, 0.0, 0.1, 0.6, 0.167, 0.0, 0.0
1853, Anthony Carter, 1610612743, DEN, 35.0, 5.4, 9.1, 0.593, 1.4, 2.8, 0.483, 0.9, 2.2, 0.421, 1.9, 4.6, 0.407, 2.2, 5.9, 0.379, 1.1, 3.0, 0.377, 0.0, 0.3, 0.0, 0.0, 0.3, 0.0, 0.0, 0.0
1533, Anthony Johnson, 1610612753, ORL, 35.0, 3.7, 6.2, 0.607, 1.0, 2.1, 0.484, 0.9, 2.6, 0.324, 1.9, 5.1, 0.375, 1.7, 4.2, 0.408, 1.1, 3.1, 0.366, 0.0, 0.0, 0.0, None, None, None, 0.0, 0.0
201627, Anthony Morrow, 1610612744, GSW, 24.0, 11.9, 19.1, 0.623, 2.6, 6.0, 0.436, 1.8, 4.7, 0.388, 3.2, 8.3, 0.389, 3.1, 7.8, 0.394, 2.4, 5.9, 0.416, 0.0, 0.7, 0.0, 0.0, 0.3, 0.0, 0.0, 0.0
1515, Anthony Parker, 1610612739, CLE, 35.0, 8.9, 15.2, 0.586, 1.9, 4.8, 0.394, 1.7, 4.6, 0.379, 4.0, 9.8, 0.405, 3.2, 8.7, 0.367, 1.6, 4.5, 0.346, 0.0, 0.2, 0.0, 0.1, 0.6, 0.25, 0.0, 0.0
201576, Anthony Randolph, 1610612744, GSW, 20.0, 9.8, 16.2, 0.604, 1.9, 4.3, 0.432, 1.7, 3.6, 0.458, 2.7, 6.6, 0.413, 2.2, 5.2, 0.422, 1.7, 4.5, 0.373, 0.0, 0.8, 0.0, 0.0, 0.0, 0.0, 0.1, 0.2
201229, Anthony Tolliver, 1610612744, GSW, 25.0, 12.5, 20.3, 0.617, 2.4, 6.0, 0.396, 2.3, 5.5, 0.419, 3.6, 9.2, 0.388, 3.2, 8.0, 0.397, 2.7, 6.8, 0.397, 0.0, 0.6, 0.0, 0.0, 0.3, 0.0, 0.0, 0.0
