PLAYER_ID, PLAYER_NAME, TEAM_ID, TEAM_ABBREVIATION, AGE, OPP_FGM, OPP_FGA, OPP_FG_PCT, OPP_FGM, OPP_FGA, OPP_FG_PCT, OPP_FGM, OPP_FGA, OPP_FG_PCT, OPP_FGM, OPP_FGA, OPP_FG_PCT, OPP_FGM, OPP_FGA, OPP_FG_PCT, OPP_FGM, OPP_FGA, OPP_FG_PCT, OPP_FGM, OPP_FGA, OPP_FG_PCT, OPP_FGM, OPP_FGA, OPP_FG_PCT, OPP_FGM, OPP_FG_PCT
243, Aaron McKie, 1610612747, LAL, 34.0, 3.9, 7.0, 0.557, 0.4, 1.4, 0.273, 0.9, 1.9, 0.474, 1.5, 4.0, 0.375, 0.9, 3.2, 0.276, 1.5, 3.2, 0.469, None, None, None, 0.0, 1.0, 0.0, 0.0, 0.0
1425, Aaron Williams, 1610612746, LAC, 35.0, 2.8, 4.9, 0.573, 0.7, 1.8, 0.397, 0.7, 1.4, 0.522, 1.8, 4.0, 0.443, 0.8, 2.6, 0.287, 0.6, 1.6, 0.348, 0.0, 0.5, 0.0, None, None, None, 0.0, 0.0
200747, Adam Morrison, 1610612766, CHA, 22.0, 10.8, 18.8, 0.577, 1.8, 4.4, 0.4, 1.4, 3.8, 0.372, 3.9, 9.3, 0.424, 3.1, 7.6, 0.413, 1.5, 4.1, 0.365, 0.0, 0.3, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0
1502, Adonal Foyle, 1610612744, GSW, 32.0, 4.1, 6.9, 0.591, 0.9, 2.4, 0.357, 0.6, 1.8, 0.339, 1.0, 2.7, 0.387, 1.5, 3.7, 0.419, 1.0, 2.4, 0.43, 0.0, 0.0, 0.0, None, None, None, 0.0, 0.0
1559, Adrian Griffin, 1610612741, CHI, 32.0, 3.1, 5.2, 0.589, 0.6, 1.5, 0.431, 0.7, 2.0, 0.337, 1.1, 3.5, 0.322, 1.2, 3.3, 0.36, 0.8, 2.2, 0.345, 0.3, 0.5, 0.5, 0.0, 1.0, 0.0, 0.0, 0.0
1733, Al Harrington, 1610612744, GSW, 27.0, 12.0, 20.5, 0.583, 1.9, 5.0, 0.39, 1.8, 4.8, 0.371, 4.0, 10.4, 0.384, 3.5, 8.9, 0.389, 2.2, 5.3, 0.42, 0.0, 0.0, 0.0, 0.2, 0.3, 0.5, 0.0, 0.0
2744, Al Jefferson, 1610612738, BOS, 22.0, 12.0, 20.1, 0.596, 2.0, 5.1, 0.398, 1.8, 4.6, 0.401, 4.4, 10.8, 0.41, 3.8, 9.7, 0.39, 1.4, 4.1, 0.345, 0.0, 0.5, 0.0, 0.0, 0.7, 0.0, 0.0, 0.0
101187, Alan Anderson, 1610612766, CHA, 24.0, 4.8, 8.5, 0.563, 1.5, 2.5, 0.579, 0.5, 1.4, 0.333, 1.7, 4.9, 0.349, 1.7, 3.9, 0.439, 0.7, 2.1, 0.324, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
673, Alan Henderson, 1610612755, PHI, 34.0, 4.3, 6.4, 0.661, 0.7, 1.8, 0.411, 0.5, 2.0, 0.247, 1.2, 3.7, 0.328, 1.4, 3.0, 0.469, 0.7, 2.0, 0.35, 0.0, 1.0, 0.0, 0.2, 0.5, 0.333, 0.0, 0.0
200792, Alexander Johnson, 1610612763, MEM, 24.0, 5.1, 7.9, 0.642, 1.0, 2.3, 0.447, 1.1, 2.1, 0.51, 1.5, 3.5, 0.428, 1.7, 4.6, 0.371, 1.0, 2.7, 0.372, 0.3, 0.5, 0.5, 0.0, 0.7, 0.0, 0.0, 0.0
