Player,<5Ft FGM,<5Ft FGA,<5Ft FG%,5-9 Ft FGM,5-9 Ft FGA,5-9 Ft FG%,10-14 Ft FGM,10-14 Ft FGA,10-14 Ft FG%,15-19 Ft FGM,15-19 Ft FGA,15-19 Ft FG%,20-24 Ft FGM,20-24 Ft FGA,20-24 Ft FG%,25-29 Ft FGM,25-29 Ft FGA,25-29 Ft FG%,Year
Kwame Brown,4.3,7.1,0.605,0.8,2.7,0.294,1,2.6,0.386,2.4,5.8,0.417,1.8,4,0.435,0.8,2.5,0.339,2001
LaPhonso Ellis,6.7,11.6,0.58,1.8,5.1,0.352,1.7,5,0.349,3.2,8.4,0.382,2.4,6.9,0.349,0.8,2.4,0.345,2001
Lamar Odom,10.1,18,0.563,3,9.8,0.311,2.6,7.8,0.327,4.7,11.8,0.402,2.9,8.4,0.346,1.8,5.6,0.315,2001
Lamond Murray,11.2,20.5,0.547,2.3,5.5,0.412,2.2,5.8,0.389,4.5,11.2,0.404,3.3,7.9,0.422,1.9,4.7,0.409,2001
Larry Hughes,11.3,18.2,0.622,2.2,6.9,0.315,2.1,4.9,0.431,3.7,9.6,0.38,2.7,6.9,0.393,1.3,3.7,0.351,2001
Larry Robinson,2.5,2.5,1,0,0,0,0,0,0,0,1,0,2,4.5,0.444,0,0,0,2001
Latrell Sprewell,13.1,21.6,0.605,3.4,8.8,0.394,2.8,8.4,0.328,5,12.4,0.399,4.5,10.9,0.416,1.9,6.1,0.311,2001
Lavor Postell,1.9,3.2,0.595,0.9,1.9,0.467,0.8,2.4,0.308,1.3,3.5,0.357,0.7,2.3,0.318,0.2,1.3,0.182,2001
Lawrence Funderburke,3.9,6.2,0.619,1.5,3.9,0.378,1.2,2.8,0.422,1.8,5.3,0.336,1.3,4.1,0.33,0.5,1.4,0.333,2001
Lee Nailon,7.5,14,0.532,1.5,4.3,0.352,1.7,4.5,0.379,3.6,8.4,0.426,2.4,5.7,0.417,1.5,4.2,0.371,2001
Leon Smith,2.5,3.6,0.686,0.4,1.6,0.25,0.5,1.6,0.333,0.8,2.2,0.379,1,2,0.5,0.3,1.5,0.2,2001
Lindsey Hunter,6,10,0.602,1.5,4.4,0.333,1.8,4.6,0.397,2.7,7.3,0.367,1.4,4.2,0.34,1,3.4,0.285,2001
Loren Woods,3.1,5.2,0.583,0.8,1.8,0.447,0.6,1.6,0.395,1.1,3.1,0.365,1,2.5,0.397,0.6,1.6,0.346,2001
Lorenzen Wright,10.8,17.6,0.611,2.4,6,0.392,1.9,5.2,0.356,3.8,9.8,0.39,2.7,6.9,0.396,1,3.1,0.333,2001
Lucious Harris,5.8,11.2,0.514,1.4,3.7,0.385,1.3,3.6,0.366,2.9,7.4,0.389,2.1,5.6,0.368,0.9,2.4,0.353,2001
Malik Allen,3.2,6.2,0.514,1.3,3.6,0.375,0.7,2.1,0.333,2.5,6.5,0.385,1.5,4.4,0.34,0.8,3,0.278,2001
Malik Rose,6.4,11.7,0.545,1.7,4.4,0.38,1.5,4.8,0.318,2.7,7.1,0.385,2,5.5,0.372,0.8,2.7,0.31,2001
Mamadou N'diaye,2.6,4.4,0.591,0.8,2.6,0.308,1.3,3.3,0.385,0.6,2,0.3,0.4,2,0.2,0.3,0.8,0.333,2001
Marc Jackson,4.5,7,0.647,0.9,2.7,0.344,0.7,2,0.338,1.5,4.2,0.352,1.6,4.3,0.375,0.7,2.2,0.321,2001
Marcus Camby,10.4,17,0.612,2.6,6.8,0.378,2.6,7.2,0.354,4.1,10.2,0.401,3.9,10.1,0.389,1.8,5.9,0.302,2001
Marcus Fizer,8.6,13.6,0.634,1.6,3.7,0.42,1.8,4.6,0.38,4,9.9,0.403,2.7,6.8,0.403,0.9,3.1,0.303,2001
Mark Blount,2.6,4.5,0.576,0.7,1.5,0.451,0.7,1.9,0.385,1.7,4.2,0.392,1.3,2.9,0.434,0.6,1.7,0.339,2001
Mark Bryant,2.4,4.2,0.568,0.7,1.7,0.395,0.5,1.8,0.25,0.7,2.3,0.322,0.9,2,0.453,0.4,1.1,0.389,2001
Mark Jackson,10,16.1,0.618,2.5,6.4,0.395,2,5.8,0.337,3.7,8.9,0.413,3.2,7.4,0.434,1.4,4,0.336,2001
Mark Madsen,3.1,4.9,0.639,1,2.8,0.375,1,2.4,0.438,1.5,3.9,0.396,1,2.8,0.368,0.8,2.4,0.345,2001
Mark Pope,3,4.8,0.624,1,2.7,0.353,1.2,2.8,0.416,1.8,5.1,0.361,1.5,3.2,0.454,0.9,2.6,0.341,2001
Mark Strickland,4.7,7.5,0.629,1.1,2.8,0.383,1.1,3,0.374,1.7,4.2,0.414,1.6,3.6,0.45,1.1,3.1,0.341,2001
Mateen Cleaves,1.2,2.2,0.551,0.6,1.5,0.421,0.8,1.3,0.6,1,2.7,0.38,0.8,2.1,0.383,0.6,1.6,0.4,2001
Matt Bullard,3,5.6,0.537,0.8,1.9,0.423,0.9,2.4,0.394,1.7,4.8,0.357,1.3,2.9,0.446,0.5,2.1,0.25,2001
Matt Geiger,2.8,4,0.688,0.3,1.5,0.167,1,2.5,0.4,1,2.8,0.364,1.8,2,0.875,0.5,2,0.25,2001
Matt Harpring,8.1,14.6,0.555,2.2,5.7,0.386,3,8.1,0.375,4.6,11.2,0.406,2.4,6,0.405,1.9,6.4,0.303,2001
Maurice Evans,0.9,1.9,0.474,0.6,1,0.571,0.7,1.3,0.5,1,2.2,0.462,0.9,1.7,0.5,0.1,0.9,0.167,2001
Mengke Bateer,4.9,7.9,0.615,1.4,3.5,0.394,0.9,2.2,0.407,2.2,5.3,0.406,1.1,3.5,0.304,0.8,2.3,0.356,2001
Metta World Peace,9.1,15.4,0.593,1.8,5.3,0.341,2.1,5.3,0.398,4.1,10.5,0.397,3.2,8.2,0.388,1.4,4.3,0.328,2001
Michael Bradley,1.6,2.6,0.627,0.4,1,0.391,0.6,1.5,0.44,0.7,1.6,0.447,0.5,1.5,0.364,0.4,0.9,0.455,2001
Michael Curry,6.9,12.1,0.567,1.3,3.6,0.366,2.1,5.1,0.41,4.5,10.5,0.424,1.5,3.5,0.43,1.4,3.8,0.362,2001
Michael Dickerson,10.8,15.8,0.683,4,8.3,0.485,2.8,4.8,0.579,7.5,13.3,0.566,1.3,6.8,0.185,0.8,3.3,0.231,2001
Michael Doleac,5.5,9.7,0.567,1,2.4,0.433,1.6,3.5,0.463,2.7,6.3,0.423,1.8,4.3,0.41,1,2.5,0.396,2001
Michael Finley,14.8,24.9,0.596,3,7.5,0.392,2.8,7,0.397,4.8,12.4,0.383,5.3,13.5,0.395,1.1,3.5,0.32,2001
Michael Jordan,10.1,16.2,0.627,2.4,6.6,0.358,3,7.3,0.414,6.1,14.3,0.425,3.4,8.2,0.411,1.9,5.6,0.33,2001
Michael Olowokandi,10.8,17.4,0.62,3.1,8.3,0.379,3.3,8.2,0.404,4.4,11.5,0.386,2.2,6,0.374,1.6,4.5,0.365,2001
Michael Redd,6.5,11.4,0.571,1.3,3.3,0.41,1.6,4.5,0.347,2.8,7.6,0.373,2.1,5.2,0.409,1.4,4,0.357,2001
Michael Ruffin,3.1,5.3,0.588,0.6,1.8,0.333,1.1,3.1,0.351,1.9,4.5,0.424,1.9,4.9,0.386,1.1,3.2,0.342,2001
Michael Stewart,1.9,3.5,0.553,1,1.9,0.533,0.9,2.6,0.333,1.2,3,0.4,0.8,2.1,0.368,0.2,0.8,0.286,2001
Mike Bibby,10.4,17.7,0.586,3.9,9.1,0.425,2.7,6.9,0.395,5,13.5,0.369,3.9,10.6,0.372,1.1,3.2,0.345,2001
Mike James,1.9,3.3,0.592,1,1.9,0.524,0.5,1.8,0.286,1.4,3.3,0.417,1.3,2.7,0.5,0.7,1.6,0.429,2001
Mike Miller,12.7,21.3,0.596,2.6,6.9,0.373,2.5,6.3,0.401,4.7,11.9,0.39,3.3,8.5,0.387,1.3,4,0.332,2001
Mike Penberthy,2,3,0.667,0.5,2,0.25,0,0.5,0,0.3,1.3,0.25,0,0.5,0,1,2.5,0.4,2001
Mikki Moore,1.9,3.2,0.6,0.5,1.2,0.393,0.6,1.5,0.4,1.7,4,0.417,0.7,1.7,0.419,0.5,1.5,0.353,2001
Milt Palacio,3.3,5.2,0.634,0.8,2.1,0.398,0.8,2.3,0.348,1.9,4.8,0.394,1.5,3.7,0.404,0.6,2.1,0.302,2001
Mitch Richmond,3.3,5.8,0.573,0.9,2.8,0.312,0.8,2.3,0.341,1.4,4.3,0.332,0.7,2.7,0.263,0.8,2.4,0.319,2001
Mitchell Butler,2.1,4.3,0.489,0.4,1.6,0.286,0.4,1.1,0.375,1,1.9,0.526,2.7,5.2,0.526,0.2,1.2,0.167,2001
Monty Williams,6.1,10.3,0.597,1.3,3.1,0.41,1.9,4.5,0.415,2.8,6.8,0.418,1.9,5,0.38,0.8,2.5,0.331,2001
Moochie Norris,9.2,15.6,0.587,2,4.7,0.414,2,4.7,0.423,4.5,10.6,0.429,2.7,7.1,0.387,1.2,3.6,0.323,2001
Mookie Blaylock,6.3,10.1,0.631,1.1,3.3,0.345,1,2.7,0.36,2.4,6.2,0.389,1.4,3.9,0.359,0.6,2.3,0.253,2001
Morris Peterson,8.5,15.6,0.547,2.8,6.6,0.423,2.9,7.4,0.385,5,11.1,0.444,2.8,7.5,0.367,1.2,3.1,0.375,2001
Nazr Mohammed,9.2,15.2,0.606,2.1,5.5,0.38,2.3,5.8,0.392,3.3,8.4,0.398,2.6,6,0.438,1.7,4.6,0.358,2001
Nick Anderson,4.3,7.4,0.577,1.4,3.2,0.438,1.2,2.5,0.469,2,5.5,0.361,1.3,3.9,0.328,0.8,1.8,0.409,2001
Nick Van Exel,11.7,19.5,0.6,3,7.9,0.376,1.9,5,0.386,4.3,11.2,0.38,4.4,10.7,0.408,1.4,4.2,0.345,2001
Norman Richardson,1.7,3.2,0.543,0.5,0.8,0.667,1.1,2.7,0.421,1.3,3,0.444,1.2,2.5,0.481,0.4,1.6,0.231,2001
Obinna Ekezie,1.6,2.6,0.6,0.2,1,0.211,0.7,2.1,0.351,1,2.6,0.39,0.9,2.2,0.405,0.4,1.5,0.241,2001
Olumide Oyedeji,1.6,2.6,0.611,0.5,1.5,0.333,0.5,1.8,0.279,0.7,2.1,0.333,0.6,2,0.292,0.6,1.6,0.4,2001
Oscar Torres,5.7,10,0.573,1.3,3.1,0.401,1.2,2.8,0.434,2.9,6.3,0.461,1.7,4.6,0.369,0.9,2.5,0.357,2001
Othella Harrington,5.6,9.4,0.592,1.5,4.2,0.345,1.3,3.8,0.337,2.4,6.6,0.367,2.1,5.6,0.379,0.9,3,0.297,2001
P.J. Brown,9.8,18.6,0.529,1.9,5.3,0.363,2.2,6,0.358,5,11.9,0.422,2.7,6.7,0.408,2,4.9,0.396,2001
Pat Garrity,10.7,17.6,0.606,2.1,5.8,0.366,2.4,6,0.41,4.3,10.8,0.397,3.1,7.6,0.408,1.2,3.5,0.354,2001
Patrick Ewing,4.7,8,0.584,1,2.7,0.382,1.4,3.4,0.412,2,5.1,0.402,1.3,3.4,0.387,0.4,1.4,0.261,2001
Pau Gasol,13.7,23.5,0.586,2.8,7,0.398,2.5,6.6,0.381,4.6,12.4,0.372,4.1,9.5,0.428,1.2,4.3,0.274,2001
Paul Pierce,10.6,18,0.588,1.7,5.2,0.326,2.7,7.4,0.36,6.1,16.2,0.375,5.2,12.8,0.403,2.2,6.9,0.32,2001
Peja Stojakovic,11.9,19.8,0.598,4.5,10.6,0.425,3.1,7.8,0.397,5.5,14.5,0.376,4.7,12.4,0.378,1,3.2,0.318,2001
Popeye Jones,6.9,11.2,0.616,1.7,4.8,0.363,2,4.9,0.419,4,9.5,0.424,2.3,5.7,0.395,1.2,4.2,0.293,2001
Predrag Drobnjak,5.7,9.1,0.628,1.4,3.9,0.348,1.5,3.2,0.45,2.5,6.3,0.4,2,5,0.393,1.1,3.4,0.333,2001
Primoz Brezec,2.1,3.7,0.561,0.6,1.4,0.385,0.7,2.4,0.282,0.8,2.3,0.366,1,2.6,0.38,0.9,2.1,0.414,2001
Quentin Richardson,7.7,13.5,0.569,2.2,5.9,0.378,2.3,6.1,0.375,3.9,9.5,0.405,2.2,5.8,0.38,1.7,4.5,0.368,2001
Quincy Lewis,3.9,6.6,0.592,0.9,2.9,0.326,1.1,2.8,0.375,1.8,4.8,0.384,2.1,5.1,0.411,0.8,2.2,0.37,2001
Raef LaFrentz,10.9,18.8,0.578,3,7.6,0.394,1.6,4.2,0.394,4.2,10.7,0.395,3.7,9.3,0.396,1.3,3.7,0.361,2001
Rafer Alston,3.3,5.9,0.553,0.9,2.6,0.37,1.4,3.2,0.436,1.9,5,0.378,1.3,3.5,0.378,1,2.4,0.406,2001
Raja Bell,3.1,5.5,0.563,1.1,2.5,0.447,1.2,3.4,0.339,1.7,4.5,0.388,1.3,3.2,0.423,1,3.1,0.311,2001
Randy Brown,3,4,0.75,0,0,0,0,0,0,1,4,0.25,0,3,0,0,0,0,2001
Randy Livingston,3.2,5.8,0.553,0.8,2.9,0.286,1,2.3,0.429,1.8,5.1,0.348,1.6,4.3,0.375,0.9,2.3,0.4,2001
Rashard Lewis,11.6,19.5,0.594,2.6,7.1,0.362,2.5,5.7,0.441,4.9,12.7,0.383,4.1,10.5,0.385,1.8,5.4,0.325,2001
Rasheed Wallace,10.9,18.3,0.596,2.7,6.7,0.397,2.3,6.1,0.369,5,12.4,0.401,5.1,13.2,0.388,1.7,4.6,0.359,2001
Rasho Nesterovic,7.7,13.3,0.578,2.1,5.6,0.376,1.9,4.7,0.407,4,10.4,0.383,3.5,8.5,0.408,1.2,3.2,0.373,2001
Ratko Varda,1,1,1,1,1,1,1,2,0.5,1,1,1,0,0,0,1,2,0.5,2001
Ray Allen,11.7,20.1,0.585,2.7,6.3,0.42,3.3,9,0.362,4.9,12.9,0.379,3,7.9,0.378,2.3,6.3,0.362,2001
Reggie Miller,11.5,19.9,0.579,3.5,8.2,0.421,2.8,7.5,0.373,5,12.4,0.404,3.3,9,0.366,1.9,5.3,0.364,2001
Reggie Slater,1.4,2.1,0.647,1.3,2,0.667,0.9,1.7,0.5,1.8,2.6,0.667,1,2,0.5,0,0.6,0,2001
Richard Hamilton,11,17.8,0.62,2,6.3,0.32,2.8,6.8,0.41,5.3,13.1,0.408,3.4,8.5,0.399,1.9,5.6,0.338,2001
Richard Jefferson,6.2,12.6,0.494,1.6,4.5,0.366,1.7,4.5,0.385,3.2,8.2,0.393,2.7,6.7,0.397,1.1,3.1,0.352,2001
Rick Brunson,2.9,4.7,0.628,0.7,1.8,0.373,0.4,1.5,0.27,1.4,3.5,0.415,1.6,3.6,0.435,0.6,1.8,0.318,2001
Rick Fox,8.6,14.2,0.61,2.1,6.2,0.341,2.6,6.4,0.411,4.1,10.7,0.382,2.1,6.1,0.35,1.7,5.1,0.324,2001
Ricky Davis,8.1,14.3,0.565,1.5,3.8,0.398,1.7,4.2,0.402,3,7.7,0.392,2.2,5.3,0.42,1.4,3.7,0.389,2001
Robert Horry,7.7,13.2,0.58,1.7,5.1,0.327,2,5.4,0.366,3.6,9.6,0.371,2.1,6.1,0.335,1.6,4.8,0.331,2001
Robert Pack,4.4,7.8,0.573,1.1,3.1,0.367,0.8,2.4,0.333,2.4,5.6,0.433,1.8,4.7,0.373,1.1,2.3,0.469,2001
Robert Traylor,3.5,6.5,0.537,0.8,2.1,0.368,0.7,1.9,0.364,1.4,4.2,0.333,1,2.6,0.39,0.7,2.1,0.33,2001
Rod Strickland,7.8,14.6,0.538,2.1,5.6,0.384,2.3,6.3,0.363,4.3,10.5,0.405,2.9,8.1,0.354,1.2,3.2,0.365,2001
Rodney Buford,10.9,18.5,0.589,2.3,5.4,0.42,1.8,4.9,0.375,3.6,9.4,0.384,3.3,7.7,0.42,1,3.4,0.293,2001
Rodney Rogers,7,11.9,0.589,1.6,4,0.399,1.7,4.5,0.374,3,8.8,0.338,2.8,7.1,0.399,1.4,3.9,0.353,2001
Rodney White,2.2,4.1,0.53,0.7,1.4,0.471,0.5,1.6,0.304,1.9,4.6,0.422,0.8,1.3,0.625,0.6,2.2,0.258,2001
Ron Mercer,9.9,16.1,0.614,2.1,5.3,0.388,2.6,6.4,0.404,5.2,12.5,0.413,3.4,8.8,0.39,1.2,3.7,0.311,2001
Ruben Boumtje-Boumtje,2.2,4.2,0.521,0.5,1.4,0.378,0.3,1.2,0.222,1.4,2.8,0.513,1.5,3.7,0.417,0.9,1.9,0.463,2001
Ruben Patterson,6.8,11.4,0.595,1.7,4.1,0.406,1.2,3.5,0.358,3.1,7.7,0.404,3.5,8.6,0.409,1,3,0.335,2001
Rusty LaRue,5.3,8.8,0.605,1,3.2,0.303,1.2,2.9,0.404,2,5.1,0.384,1.6,4.8,0.338,0.8,1.9,0.411,2001
Ryan Bowen,6.5,11.4,0.571,2.1,5.5,0.391,1.1,2.9,0.389,2.6,7.3,0.356,2.6,6.1,0.421,1.1,3.5,0.331,2001
Sam Cassell,11.5,19.6,0.586,2.3,5.7,0.404,3.3,9,0.363,4.7,12.6,0.376,3.1,8.1,0.379,2.2,6.4,0.347,2001
Sam Mack,3.5,6.3,0.56,1.1,2.9,0.371,1.3,3.3,0.389,1.4,3.8,0.357,1.3,4.1,0.311,0.5,2.3,0.24,2001
Sam Mitchell,3.1,4.9,0.628,0.9,2.3,0.383,0.7,1.9,0.389,1.3,3.7,0.354,1.3,3.3,0.405,0.5,1.6,0.323,2001
Samaki Walker,7.7,13.1,0.589,2.2,6.1,0.371,2.2,5.7,0.393,3.4,9.1,0.373,1.9,4.8,0.39,1.1,3.9,0.282,2001
Samuel Dalembert,1.8,3,0.604,0.7,1.3,0.5,0.6,1.8,0.325,0.5,1.4,0.325,1,2.1,0.488,0.2,1,0.2,2001
Scot Pollard,6.4,11.1,0.575,2.9,6.7,0.434,2,4.8,0.411,3.7,9.7,0.378,2.6,7.3,0.353,0.8,2.1,0.371,2001
Scott Padgett,4.8,8.3,0.586,1.1,3.4,0.329,1,2.9,0.359,1.7,4.9,0.349,2.4,5.9,0.404,0.8,2.2,0.347,2001
Scott Williams,5.7,9.4,0.604,1.2,3.7,0.314,1.1,2.8,0.402,2.9,7.3,0.39,2.2,4.9,0.457,0.8,2.2,0.365,2001
Scottie Pippen,10.1,16.5,0.611,2.5,6,0.417,2,5.3,0.38,4.5,10.7,0.426,4.2,11,0.385,1.6,4.2,0.386,2001
Sean Marks,4.1,7.1,0.577,1.5,3.9,0.373,1.1,3.2,0.328,1.9,5.7,0.333,1.4,3.5,0.392,0.3,1.3,0.19,2001
Sean Rooks,3.6,6,0.591,0.9,2.5,0.338,0.9,2.8,0.318,1.7,4.4,0.396,1.2,3.4,0.366,0.7,1.8,0.356,2001
Shammond Williams,3.6,5.7,0.631,1,2.5,0.404,0.8,2.4,0.343,1.4,3.7,0.379,1.4,3.6,0.383,0.8,2.3,0.34,2001
Shandon Anderson,5.5,9.3,0.592,1.5,3.9,0.377,1.3,3.9,0.335,2.2,6.2,0.357,2,5.3,0.372,0.8,2.8,0.278,2001
Shane Battier,14.1,24.3,0.58,2.9,7.5,0.381,2.8,7.3,0.383,5.1,13.2,0.387,4.4,10.3,0.43,1.4,4.9,0.285,2001
Shaquille O'Neal,9.8,16.4,0.596,2.4,7.5,0.315,3.3,8.3,0.393,5.9,15.3,0.384,2.7,8,0.338,2,6.6,0.312,2001
Shareef Abdur-Rahim,13.5,22.5,0.601,2.8,7.6,0.376,3.1,8,0.389,4.9,11.9,0.411,3.5,9.1,0.382,2,6.2,0.327,2001
Shawn Bradley,4.5,8.1,0.557,0.9,2.3,0.388,0.9,2.8,0.329,1.9,5,0.382,1.9,5.1,0.372,0.7,2.1,0.313,2001
Shawn Kemp,5.2,8.6,0.602,1.3,2.9,0.437,1,2.2,0.439,2.1,5.2,0.414,2.2,5.7,0.394,0.7,2.2,0.341,2001
Shawn Marion,11.9,21,0.567,3.2,7.9,0.4,3,7.9,0.38,5.8,14.1,0.408,3.4,9.1,0.376,1.6,4.8,0.332,2001
Shawnelle Scott,3.3,5.4,0.619,1.5,3.9,0.392,0.9,2.2,0.439,2,4.9,0.398,1,2.8,0.357,0.4,1.6,0.276,2001
Slava Medvedenko,3.5,5.6,0.615,0.9,2.5,0.348,0.8,2.4,0.333,1.2,3.6,0.336,0.7,2.1,0.338,0.7,2.2,0.301,2001
Speedy Claxton,6.3,11.5,0.545,1.5,3.8,0.408,2,5.2,0.39,2.7,7,0.386,2.1,4.5,0.458,1.2,4.5,0.264,2001
Stacey Augmon,5.1,10.2,0.503,1,2.8,0.359,1,2.9,0.341,2.1,6,0.35,1.5,3.8,0.4,1.1,3.2,0.351,2001
Stephen Jackson,2.4,5,0.474,0.7,2.7,0.265,1,2.9,0.339,2.1,4.4,0.467,1.8,4.1,0.443,0.2,1.3,0.15,2001
Stephon Marbury,12.1,21.4,0.567,3.1,7.7,0.408,3,7.6,0.396,5.9,14.3,0.413,3.6,9.3,0.386,1.7,5.1,0.338,2001
Steve Francis,13.5,23.7,0.57,3.6,8.2,0.436,2.8,7.4,0.375,6.8,15.8,0.43,3.9,10.4,0.378,1.7,5.4,0.314,2001
Steve Goodrich,2.2,3.2,0.69,0.8,1.5,0.556,0,1.1,0,0.4,2,0.188,1.2,2.7,0.438,0,1,0,2001
Steve Kerr,3.6,6.4,0.551,0.9,2.4,0.356,0.6,2,0.296,1.8,4.2,0.416,2,5,0.394,0.5,1.3,0.338,2001
Steve Nash,12.8,22.2,0.578,2.7,6.9,0.395,2.6,6.4,0.414,3.9,10.2,0.382,4.4,11.7,0.374,1,3.3,0.293,2001
Steven Hunter,3.8,6.5,0.578,0.8,2,0.405,0.8,2.3,0.364,1.7,4.5,0.38,1.2,3.2,0.364,0.7,2.2,0.321,2001
Steven Smith,8.6,16,0.535,2.4,5.9,0.399,2.9,7.1,0.41,3.8,10.1,0.374,2.9,7.3,0.403,0.9,2.7,0.33,2001
Stromile Swift,9.5,16.5,0.577,2,5.1,0.396,1.7,4.5,0.373,3.6,9.3,0.391,2.9,7.7,0.38,1.1,3.7,0.303,2001
Tang Hamilton,3,6.2,0.482,1,2.8,0.353,0.6,1.9,0.308,1.1,3.4,0.333,1,2.9,0.348,0.4,1.7,0.25,2001
Tariq Abdul-Wahad,5.8,9.9,0.591,1.7,4.3,0.389,0.9,2.5,0.345,2.4,6.4,0.377,2.7,5.7,0.485,0.9,2.3,0.386,2001
Terence Morris,6.2,10.7,0.582,1,2.6,0.379,1,2.6,0.406,2.8,6.5,0.428,1.6,4,0.398,1,2.8,0.374,2001
Terrell Brandon,9,16.1,0.558,2,5.6,0.363,2.1,5.4,0.387,4.3,12.1,0.358,3.9,9.3,0.422,1.2,3.8,0.322,2001
Terry Porter,4.9,9.7,0.511,1.5,4,0.388,1.3,3.8,0.333,2.3,6.1,0.379,1.7,5.1,0.338,0.7,2.5,0.291,2001
Theo Ratliff,9,14.7,0.614,1.3,5,0.267,4,9,0.444,3.3,8,0.417,2.3,8.7,0.269,1.3,4.3,0.308,2001
Tierre Brown,4,6.7,0.597,0.8,2.2,0.386,0.5,1.4,0.362,1.8,3.8,0.457,1.3,2.9,0.43,0.8,2,0.373,2001
Tim Duncan,11.7,22,0.531,3.3,8.6,0.387,3.7,9.8,0.381,5.3,14.1,0.377,3.8,10,0.383,1.3,4.2,0.299,2001
Tim Hardaway,8.3,13.8,0.601,1.8,4.1,0.432,1.6,3.9,0.408,2.8,7,0.397,3.1,8.4,0.366,0.8,3,0.277,2001
Tim James,1.6,2.2,0.7,0.7,1.4,0.5,0.3,1,0.333,0.3,0.8,0.429,0.7,1.4,0.5,0.3,1.7,0.2,2001
Tim Thomas,7.9,13.8,0.574,2,4.7,0.424,2.2,6.5,0.335,3.5,9.1,0.387,2.5,6.7,0.374,1.7,4.8,0.349,2001
Todd MacCulloch,7.5,13.6,0.55,1.7,4.7,0.354,1.8,5,0.357,4.1,9.3,0.443,2.6,7,0.378,1.1,3.2,0.337,2001
Tom Gugliotta,7.9,13.7,0.577,2,5.2,0.378,2.3,5.5,0.424,3.7,9.5,0.391,2.6,7,0.373,1,3.2,0.319,2001
Toni Kukoc,8.7,14.3,0.607,1.7,4.7,0.359,2.2,5.2,0.418,3.3,7.6,0.43,2.1,5.8,0.359,1.5,4.6,0.327,2001
Tony Battie,5.7,10.1,0.563,1.1,3.3,0.333,1.7,4.6,0.357,4.1,10.6,0.391,3,8.1,0.373,1.4,4.1,0.338,2001
Tony Delk,6.8,11.6,0.584,1.5,3.7,0.398,1.6,4.6,0.35,3.5,9.3,0.37,2.2,5.3,0.409,1.2,3.5,0.346,2001
Tony Massenburg,5.8,9.8,0.592,1.4,3.1,0.471,1.5,3.2,0.456,2,5.9,0.344,2.3,4.9,0.469,0.8,2.4,0.335,2001
Tony Parker,9.1,16.4,0.554,2.4,6.5,0.374,2.9,7.6,0.385,3.9,10.4,0.376,2.8,6.8,0.407,1,3,0.324,2001
Tracy McGrady,14,23.3,0.602,2.5,7,0.357,3.1,7.8,0.399,5.4,14.1,0.385,3.5,9.4,0.378,1.5,4.4,0.342,2001
Tracy Murray,3.9,6.1,0.643,0.9,2.5,0.341,1.1,2.5,0.452,1.7,3.8,0.444,1.2,3.1,0.374,0.4,1.5,0.288,2001
Trajan Langdon,3.1,6.1,0.513,0.7,2.1,0.329,0.7,2,0.363,1.7,4.2,0.414,1,2.8,0.362,0.7,2,0.362,2001
Travis Best,7.1,12.4,0.568,1.7,4.1,0.42,1.6,4.7,0.351,3.5,8.1,0.43,2.5,6.1,0.409,1.3,3.5,0.364,2001
Travis Knight,2.6,4.2,0.611,0.6,1.7,0.368,0.4,1.9,0.213,1.3,3.3,0.401,1,2.7,0.357,0.5,1.7,0.317,2001
Tremaine Fowlkes,6,9.3,0.647,2.2,4.8,0.462,1.6,4.1,0.383,2.6,6.2,0.423,1,2.4,0.396,0.5,1.6,0.321,2001
Trenton Hassell,9.2,15.3,0.605,1.8,4.5,0.394,2.1,5.3,0.405,4.5,11,0.412,3.3,7.4,0.439,1.5,3.9,0.389,2001
Troy Hudson,7.7,13.1,0.589,1.6,4.3,0.363,2.1,5,0.422,3.2,8,0.393,2.4,6.1,0.385,1,3.1,0.337,2001
Troy Murphy,6.7,10.4,0.643,1.2,3.8,0.32,1.3,2.8,0.466,2.4,6.1,0.389,1.7,4.6,0.378,0.7,2.4,0.315,2001
Tyrone Hill,10.8,18.2,0.591,2.6,5.3,0.482,2.5,6.2,0.398,4.5,10.9,0.412,2.3,6.8,0.339,1.8,4.5,0.393,2001
Tyrone Nesby,6.2,10.1,0.621,1.4,4.4,0.318,1.4,3.9,0.364,3.3,8,0.414,2.1,5,0.427,1,3.4,0.302,2001
Tyronn Lue,5.8,9.9,0.591,1.2,3.7,0.333,1.4,4.1,0.336,3.6,8.6,0.416,1.9,5.2,0.356,0.9,3,0.293,2001
Tyson Chandler,5.6,10.3,0.54,1,3.2,0.324,1.8,4.2,0.416,3.3,7.6,0.437,2.4,5.6,0.428,1.3,3.1,0.41,2001
Victor Alexander,2.4,4.4,0.557,0.5,1.3,0.357,0.5,1.4,0.357,1.6,3.3,0.478,0.4,1.6,0.273,0.2,1.1,0.154,2001
Vin Baker,10.6,17.2,0.617,2.7,6.5,0.412,2,4.7,0.436,4.1,10.8,0.376,3.3,8.1,0.404,1.5,4.5,0.336,2001
Vince Carter,11.6,20.6,0.564,3.2,7.8,0.409,3.1,8.1,0.377,5.4,13.9,0.387,3.8,10.5,0.36,1.5,4.4,0.35,2001
Vinny Del Negro,1.5,2,0.75,0,1,0,2,4,0.5,1,1,1,0,0,0,0,1,0,2001
Vitaly Potapenko,4.9,8.3,0.596,0.8,2.4,0.318,1,2.9,0.34,2.6,7,0.368,2.4,5.7,0.42,0.8,2.7,0.308,2001
