Player,<5Ft FGM,<5Ft FGA,<5Ft FG%,5-9 Ft FGM,5-9 Ft FGA,5-9 Ft FG%,10-14 Ft FGM,10-14 Ft FGA,10-14 Ft FG%,15-19 Ft FGM,15-19 Ft FGA,15-19 Ft FG%,20-24 Ft FGM,20-24 Ft FGA,20-24 Ft FG%,25-29 Ft FGM,25-29 Ft FGA,25-29 Ft FG%,Year
Bison Dele,5,8.7,0.577,1.1,2.3,0.476,1.4,3.4,0.419,1.8,3.6,0.5,1.8,5.3,0.333,0.1,1.6,0.091,1996
Blue Edwards,9,16.5,0.55,1.6,3.3,0.479,1.7,3.8,0.435,2.9,7.4,0.389,2.7,7.1,0.383,0.6,1.5,0.386,1996
Bo Outlaw,9.4,17.7,0.529,2,4.3,0.457,1.5,3.8,0.398,2.4,6.6,0.357,3.5,9.9,0.355,0.3,1.2,0.295,1996
Bob Sura,7.8,13.9,0.565,1.9,5.2,0.361,1.6,4.9,0.338,2.6,6.4,0.408,3.1,8.2,0.372,0.4,1.2,0.315,1996
Bobby Hurley,4.7,8.4,0.561,1.7,4.2,0.411,1.3,3.4,0.392,1.6,4.1,0.39,1.7,4.7,0.355,0.4,1.2,0.357,1996
Bobby Phills,9.3,16.5,0.564,2.4,6.4,0.38,2.1,6.4,0.329,3.4,8.1,0.423,4.2,11,0.383,0.4,1.1,0.324,1996
Brad Lohaus,4,6.2,0.649,0.4,1.4,0.286,1,2.6,0.385,0.4,1,0.4,0.4,1.6,0.25,0,0.5,0,1996
Brent Barry,6.7,12.4,0.543,1.6,3.4,0.486,1.1,2.5,0.431,1.6,4.3,0.376,2.4,6.9,0.352,0.2,0.6,0.375,1996
Brent Price,6.3,10.7,0.588,1.5,3.5,0.412,0.9,2.7,0.323,1.6,3.8,0.422,2,6.2,0.331,0.2,1.7,0.133,1996
Brent Scott,1.2,2.2,0.543,0.3,0.7,0.5,0.2,0.7,0.333,0.9,1.4,0.643,0.4,2.4,0.161,0,1,0,1996
Brett Szabo,4.5,8.8,0.51,0.9,1.5,0.554,0.7,1.4,0.507,1.4,2.6,0.557,1.6,3.8,0.411,0.4,1,0.385,1996
Brian Evans,1.9,3.1,0.591,0.4,0.9,0.5,0.1,1.2,0.091,0.6,1.2,0.5,0.9,1.8,0.522,0.5,0.5,1,1996
Brian Grant,8.8,14,0.623,2.5,5.5,0.447,1.9,5.5,0.341,2.7,6.2,0.439,3.7,10.3,0.362,0.1,0.8,0.125,1996
Brian Shaw,9.1,15.8,0.576,1.9,4.5,0.429,1.8,4.2,0.425,2.6,6.1,0.423,3.2,8.7,0.374,0.2,1,0.158,1996
Brooks Thompson,6.4,11.1,0.581,1.2,3,0.413,1.5,3.4,0.44,2.2,5.2,0.415,2.1,5,0.408,0.2,0.7,0.35,1996
Bruce Bowen,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1996
Bryant Reeves,15.1,26,0.583,2.6,5.4,0.479,2.3,5.9,0.394,3.9,10.1,0.385,4.8,12.9,0.373,0.5,1.5,0.354,1996
Bryant Stith,12.4,23.4,0.53,2.8,6.3,0.441,2.8,6.8,0.404,5.2,12.1,0.432,4.1,10.1,0.408,0.5,1.5,0.302,1996
Bryon Russell,9.1,17.1,0.529,2.2,5,0.444,2,5.1,0.4,3.2,8.6,0.371,4.8,12.4,0.389,0.3,1.1,0.32,1996
Buck Williams,5.4,10.5,0.513,1.1,2.8,0.389,1.7,4.7,0.371,1.9,5.2,0.373,2.5,6.8,0.372,0.3,1.1,0.295,1996
Byron Scott,6.1,11.5,0.531,1.5,3.6,0.417,1.7,4.1,0.411,2,5,0.407,2.1,6.1,0.341,0.3,1.2,0.254,1996
Calbert Cheaney,10.7,19.4,0.551,2.1,4.7,0.447,2.7,7.6,0.359,4.2,9.8,0.426,3.7,8.9,0.416,0.7,2,0.331,1996
Carl Herrera,8.4,15.4,0.547,1.6,3.7,0.434,1.9,4.7,0.407,3,6.8,0.442,3.7,9,0.412,0.5,1.2,0.375,1996
Carl Thomas,1.2,1.9,0.611,0.3,0.9,0.333,0.2,1.7,0.133,0.2,1.1,0.188,0.9,1.8,0.5,0.1,0.4,0.25,1996
Carlos Rogers,10.1,17.6,0.577,1.8,4.1,0.435,1.7,4.7,0.357,1.9,5.1,0.364,3.2,8.8,0.368,0.3,1.1,0.3,1996
Cedric Ceballos,10.6,18.3,0.578,2.3,6.2,0.371,2.2,5.6,0.396,3.7,8.3,0.441,4.6,11.7,0.389,0.5,1.3,0.346,1996
Charles Barkley,11.8,22.6,0.522,3.1,7.2,0.432,2.9,6.9,0.414,5,12.3,0.408,5.7,15.3,0.369,0.5,1.3,0.424,1996
Charles Jones,3,4.9,0.61,0.8,2,0.389,0.8,1.7,0.467,0.9,3,0.3,1.2,2.9,0.406,0.3,1.3,0.2,1996
Charles Oakley,10.3,19.5,0.528,2.2,5.6,0.398,3.3,9,0.372,3.6,9.5,0.374,4.6,11.9,0.388,0.4,1.7,0.255,1996
Charles Smith,5.2,10.5,0.497,1.4,2.7,0.51,1.2,3.2,0.386,2.5,5.3,0.47,1.9,5.3,0.37,0.6,1.4,0.429,1996
Charlie Ward,6.4,12.4,0.513,1.5,3.4,0.446,1.8,5.1,0.358,2.2,5.8,0.387,3,7.6,0.396,0.4,1.5,0.246,1996
Cherokee Parks,4.6,8.7,0.527,1,2.4,0.411,1,2.3,0.435,1.4,3.5,0.384,1.7,4.2,0.413,0.3,1.2,0.25,1996
Chris Carr,5.3,10,0.533,1.2,2.8,0.422,1.1,3.1,0.355,1.5,4.2,0.355,1.7,4.4,0.382,0.1,0.8,0.143,1996
Chris Childs,8.9,16.9,0.525,1.8,4.7,0.385,3.2,8.2,0.388,3.3,8.6,0.377,4,10.6,0.381,0.4,1.6,0.268,1996
Chris Dudley,6.7,13,0.514,2,4.6,0.424,2,4.7,0.423,2,5.3,0.369,2.9,8.1,0.358,0.3,1.4,0.237,1996
Chris Gatling,9,16,0.567,2,4.5,0.44,1.8,5.1,0.357,3.3,8.4,0.39,3.9,9.6,0.403,0.7,1.5,0.464,1996
Chris Jent,1.3,1.7,0.8,1,1,1,0,0.5,0,0.5,1,0.5,2,2,1,0,1,0,1996
Chris Mills,11.4,20.2,0.564,2.7,7.3,0.363,2.4,7.3,0.324,3.8,9.2,0.415,4.5,12,0.375,0.5,1.3,0.371,1996
Chris Morris,3.8,7.4,0.508,1.1,1.9,0.56,0.9,2.2,0.4,1.2,3.3,0.373,2.4,5.8,0.409,0.4,1,0.409,1996
Chris Mullin,13.6,22,0.617,2.5,5.4,0.455,2.3,6.2,0.377,4.5,10.6,0.428,5.3,13.8,0.388,0.4,1.4,0.296,1996
Chris Robinson,6.9,11.2,0.611,1.6,3.1,0.518,0.7,2.5,0.287,1.6,4.2,0.394,2.8,6.3,0.44,0.1,1.1,0.105,1996
